tick,institution_score,categories,round_summary,run_id,condition
25,5,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agent 1 signals collective crisis using data-backed urgency, names a specific defector (Agent 2 with 49 cows), demonstrates prosocial behavior by removing cows, and calls for coordinated reduction — a multi-function institutional message truncated before completion.",20260516_011105_hybrid,hybrid
30,4,COORDINATION|NORM_PROPOSAL|SANCTION,"Agent 1 issues a desperate, last-ditch coordination appeal citing precise resource data and naming non-compliant agents (0 and 2) with high herd counts, combining sanctioning by public shaming with a norm proposal to remove cattle before total collapse.",20260516_011105_hybrid,hybrid
5,4,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,Agents 0 and 1 are jointly signaling cooperative restraint while issuing norm-based appeals and implicit sanctions toward Agent 2's disproportionate resource extraction.,20260516_011536_hybrid,hybrid
10,4,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 form a coordinated coalition invoking fairness norms, appealing to collective restraint, and issuing implicit sanctions against Agent 2's persistent over-extraction, signaling institutional stress at a critical juncture.",20260516_011536_hybrid,hybrid
15,4,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 are coordinating a joint ultimatum against Agent 2's persistent over-extraction, invoking fairness norms and threatening collective retaliation, signaling a near-breakdown of cooperative governance.",20260516_011536_hybrid,hybrid
20,2,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 are jointly sanctioning Agent 2's extreme over-extraction (44 cows vs. 6 and 15), invoking fairness norms and collective harm framing, but Agent 2 has not responded, indicating persistent defection and institutional breakdown.",20260516_011536_hybrid,hybrid
25,5,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 present a coordinated ultimatum to Agent 2, invoking free-rider norms and threatening reciprocal defection as a conditional sanction if herd reduction does not occur.",20260516_011536_hybrid,hybrid
30,4,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 issue coordinated moral-sanction appeals to Agent 2, citing asymmetric herd sizes and collective resource degradation to demand reduction, signaling normative enforcement without formal mechanisms.",20260516_011536_hybrid,hybrid
35,5,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 jointly appeal to Agent 2 with quantified evidence of resource decline and equity violations, issuing normative pressure and implicit social sanctions while signaling their own cooperative compliance.",20260516_011536_hybrid,hybrid
40,3,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 are jointly issuing urgent, data-backed appeals to Agent 2 to reduce their herd, invoking shared norms of restraint, warning of imminent collapse, and signaling coalition solidarity — but Agent 2 continues to defect with 64 cows.",20260516_011536_hybrid,hybrid
45,6,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 present a united front, combining quantified resource monitoring, social sanctioning, and explicit norm enforcement directed at Agent 2's disproportionate extraction, while signaling their own cooperative compliance as a coordinated coalition.",20260516_011536_hybrid,hybrid
50,5,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents 0 and 1 jointly signal collective restraint and issue urgent warnings to Agent 2 about asymmetric exploitation and imminent commons collapse, demonstrating coalition-building and normative pressure without enforceable sanctions.",20260516_011536_hybrid,hybrid
55,4,COORDINATION|NORM_PROPOSAL|SANCTION,"Agents 0 and 1 are jointly pressuring Agent 2 with blame attribution, collapse warnings, and explicit reduction requests, forming a coordinated sanctioning coalition against a perceived defector.",20260516_011536_hybrid,hybrid
60,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Both agents signal cooperative restraint at a point of total resource collapse, proposing a shared zero-extraction norm and appealing to collective action to enable regeneration.",20260516_011536_hybrid,hybrid
5,6,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"Agents are engaging in trust-building and coordination signals with emerging norm proposals around sustainability and fairness, though Agent 2 resists further reduction suggesting nascent tension between equity and reciprocity.",20260516_071509_full-gabm,full-gabm
10,6,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agents 1 and 2 demonstrate strong cooperative and trust-building signals with reciprocal reductions and sustainability framing, while Agent 0 continues gradual unilateral expansion justified by relative herd size despite healthy pasture conditions.",20260516_071509_full-gabm,full-gabm
15,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are actively converging on the shared 20-cow norm through mutual acknowledgment, behavioral compliance, and forward-looking commitment, representing near-complete institutional alignment.",20260516_071509_full-gabm,full-gabm
20,9,COORDINATION|TRUST_BUILDING,"All three agents unanimously reaffirm the established cooperative equilibrium in round 20, demonstrating sustained institutional stability with consistent coordination and mutual trust-building language.",20260516_071509_full-gabm,full-gabm
25,9,COORDINATION|TRUST_BUILDING,"All three agents display highly institutionalized, convergent messaging affirming a stable cooperative equilibrium at round 25, with explicit reference to resource health metrics and equal payoff distribution as legitimizing norms.",20260516_071509_full-gabm,full-gabm
30,9,COORDINATION|TRUST_BUILDING,"All three agents in round 30 uniformly reinforce a mature, self-sustaining cooperative equilibrium, signaling strong mutual commitment, resource health monitoring, and equitable distribution norms.",20260516_071509_full-gabm,full-gabm
35,9,COORDINATION|TRUST_BUILDING,"All three agents uniformly reinforce a well-established cooperative equilibrium, citing stable resource health and equal payoffs as evidence of successful collective governance.",20260516_071509_full-gabm,full-gabm
40,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical messaging affirming a stable, cooperative equilibrium at round 40, demonstrating strong institutionalized coordination and mutual trust with no defection signals.",20260516_071509_full-gabm,full-gabm
45,9,COORDINATION|TRUST_BUILDING,"All three agents unanimously reinforce a stable, equitable harvesting equilibrium with near-identical messaging, signaling deeply institutionalized coordination and mutual trust at round 45.",20260516_071509_full-gabm,full-gabm
50,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical messaging reinforcing a stable, cooperative equilibrium at round 50, emphasizing sustained resource health, equal payoffs, and collective commitment — hallmarks of mature Ostromian commons governance.",20260516_071509_full-gabm,full-gabm
55,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical coordination and trust-building signals, reaffirming a stable, well-institutionalized equilibrium with sustainable resource use and equal payoffs.",20260516_071509_full-gabm,full-gabm
60,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical messaging reinforcing a stable, mutually beneficial equilibrium with full coordination and high trust, consistent with a mature self-governing commons institution.",20260516_071509_full-gabm,full-gabm
65,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical messaging affirming a stable, equitable harvesting equilibrium with strong mutual commitment, reflecting deeply institutionalized coordination norms.",20260516_071509_full-gabm,full-gabm
70,9,COORDINATION|TRUST_BUILDING,"All three agents reinforce a stable, mature equilibrium with synchronized messaging emphasizing resource health, equal payoffs, and collective commitment, reflecting robust Ostrom-style institutional consolidation by round 70.",20260516_071509_full-gabm,full-gabm
75,9,COORDINATION|TRUST_BUILDING,"All three agents reaffirm a stable, well-institutionalized harvest equilibrium at round 75, citing near-pristine resource health, equal payoffs, and mutual commitment — a textbook example of sustained cooperative commons governance.",20260516_071509_full-gabm,full-gabm
80,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical commitment messaging, reinforcing a stable cooperative equilibrium at round 80 with high resource health and equal payoffs.",20260516_071509_full-gabm,full-gabm
85,9,COORDINATION|TRUST_BUILDING,"All three agents uniformly reinforce a stable, cooperative equilibrium at round 85, citing consistent resource health and equitable outcomes as evidence of robust self-governance.",20260516_071509_full-gabm,full-gabm
90,9,COORDINATION|TRUST_BUILDING,"All three agents reinforce a stable, near-identical cooperative equilibrium at round 90, demonstrating sustained collective-action success with high resource health and equitable payoffs.",20260516_071509_full-gabm,full-gabm
100,10,COORDINATION|TRUST_BUILDING,"All three agents display near-identical coordinated messaging at round 100, affirming a stable, collectively enforced harvest equilibrium with high resource health and equal payoff distribution — a textbook example of successful commons self-governance.",20260516_071509_full-gabm,full-gabm
105,9,COORDINATION|TRUST_BUILDING,"All three agents uniformly reinforce a stable, well-coordinated equilibrium with near-identical messaging, affirming mutual commitment to sustainable harvesting at 97.5% pasture health and equal payoffs.",20260516_071509_full-gabm,full-gabm
110,9,COORDINATION|TRUST_BUILDING,"All three agents uniformly reaffirm commitment to a stable, equitable harvesting equilibrium at round 110, demonstrating a deeply entrenched and self-reinforcing cooperative norm with no signs of defection.",20260516_071509_full-gabm,full-gabm
115,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical reinforcing messages affirming a stable, collectively maintained equilibrium at round 115, demonstrating deeply entrenched coordination and mutual trust with no signs of defection or norm contestation.",20260516_071509_full-gabm,full-gabm
120,9,COORDINATION|TRUST_BUILDING,"All three agents display near-identical, highly institutionalized messaging at round 120, affirming a stable harvesting equilibrium with strong resource health and equal payoff distribution, reflecting mature collective-action governance.",20260516_071509_full-gabm,full-gabm
5,5,COORDINATION|DEFECTION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents are engaged in conditional cooperation with partial defection — Agent 2 holds steady signaling reciprocity, Agent 0 appeals to fairness while still adding, and Agent 1 defects citing resource health while offering conditional future restraint.",20260516_075015_full-gabm,full-gabm
10,4,COORDINATION|DEFECTION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agent 0 defects by adding while invoking fairness arguments against Agent 2, Agent 2 calls out the hypocrisy and conditionally offers cooperation, and Agent 1 attempts to sustain coordination through positive reinforcement, revealing a fragile and asymmetric governance dynamic.",20260516_075015_full-gabm,full-gabm
15,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display strong institutional cohesion in round 15, reinforcing stable harvest norms, mutual trust, and collective awareness of resource health, reflecting a mature self-governing commons.",20260516_075015_full-gabm,full-gabm
20,4,COORDINATION|DEFECTION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"All three agents add cows in a healthy pasture, but exhibit divergent institutional signals: Agent 2 attempts genuine norm-setting and coordination, Agent 1 mixes coordination with soft sanctioning, while Agent 0 deflects accountability through comparative grievance, undermining collective governance.",20260516_075015_full-gabm,full-gabm
25,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents signal coordinated holding behavior with explicit recovery benchmarks, though Agent 0 flags persistent inequality in herd sizes as a latent tension undermining full institutional trust.",20260516_075015_full-gabm,full-gabm
30,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are exhibiting strong cooperative equilibrium, explicitly referencing a shared 95% recovery target, mutual restraint norms, and reciprocal trust-building after 30 rounds of sustained coordination.",20260516_075015_full-gabm,full-gabm
35,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are engaged in sustained, reciprocal cooperative behavior with explicit shared targets (93% pasture threshold), mutual acknowledgment of compliance, and emergent norm-setting around a recovery buffer.",20260516_075015_full-gabm,full-gabm
40,6,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 2 upholds the coordination agreement while Agent 1 makes a final addition with clear conditional commitments, but Agent 0 defects by adding despite prior stability agreements, then appeals for collective restraint.",20260516_075015_full-gabm,full-gabm
45,7,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are engaging in conditional cooperative signaling around a shared threshold rule (90% pasture health), proposing coordinated reduction as a collective norm while maintaining current herd sizes and building mutual trust.",20260516_075015_full-gabm,full-gabm
50,8,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"All three agents demonstrate strong institutional coherence by holding herd sizes stable, referencing shared thresholds, and reinforcing collective norms around pasture health near the 90% warning level.",20260516_075015_full-gabm,full-gabm
55,6,COORDINATION|DEFECTION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents 0 and 2 advocate stabilization at the 90% recovery threshold while Agent 1 defects by adding a cow, prompting Agent 2 to issue a mild social sanction, revealing tension between collective norms and individual opportunism at the recovery moment.",20260516_075015_full-gabm,full-gabm
60,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display strong institutional alignment, collectively reinforcing a conditional norm of holding herd sizes until a measurable ecological threshold (91%) is reached, after which incremental additions will be decided jointly through collective deliberation.",20260516_075015_full-gabm,full-gabm
65,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents demonstrate strong institutional alignment, collectively proposing and reinforcing a clear recovery norm (hold/remove until pasture exceeds 90%) while affirming mutual contributions and coordinating future behavior.",20260516_075015_full-gabm,full-gabm
70,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents exhibit strong institutional alignment, collectively reinforcing a shared threshold norm (91% pasture health over 2+ rounds) and signaling readiness to renegotiate extraction rules once the target is sustainably met.",20260516_075015_full-gabm,full-gabm
75,5,COORDINATION|DEFECTION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"Agents 1 and 2 attempt to reinforce a coordinated holding norm with a conditional sanction threshold at 89%, while Agent 0 defects by adding a cow despite the call to hold steady, justifying it by appealing to relative herd-size equity.",20260516_075015_full-gabm,full-gabm
80,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents uniformly reaffirm a shared conditional rule (hold until pasture exceeds 91%) and express mutual appreciation, demonstrating strong collective norm adherence and cooperative institution maintenance despite continued resource decline.",20260516_075015_full-gabm,full-gabm
85,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are sustaining a coordinated holding pattern with a shared recovery threshold of 91%, reinforcing collective norms and mutual trust in the face of continued slow resource decline.",20260516_075015_full-gabm,full-gabm
90,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents are engaged in sustained collective action, reinforcing a shared threshold norm (90–91% pasture recovery) before any harvest increases, with mutual acknowledgment and trust-building.",20260516_075015_full-gabm,full-gabm
95,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display strong institutional alignment, reinforcing a shared 90% recovery threshold norm, praising collective discipline, and proposing coordinated future extraction only after the target is met.",20260516_075015_full-gabm,full-gabm
100,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,All three agents are actively proposing and endorsing collective norms—a shared herd cap and a pasture health threshold of 87%—demonstrating strong cooperative intent and incipient self-governance of the commons.,20260516_075015_full-gabm,full-gabm
105,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display strong cooperative signaling with explicit norm proposals around harvest ranges (27-30), mutual acknowledgment of restraint, and shared concern for pasture recovery, reflecting nascent but functional institutional coordination.",20260516_075015_full-gabm,full-gabm
110,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display strong institutional alignment, unanimously reinforcing the 90% pasture recovery threshold norm, praising collective compliance, and anticipating a jointly negotiated next phase — textbook Ostromian graduated rule-making with high trust.",20260516_075015_full-gabm,full-gabm
115,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display tight institutional cohesion, uniformly affirming a pre-agreed threshold-based rule (hold until 90% pasture health, then synchronize a +1 increase), with strong trust-building rhetoric and zero defection signals.",20260516_075015_full-gabm,full-gabm
120,9,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents display near-identical cooperative messaging, reinforcing a collective norm of restraint and synchronized future action as the pasture nears the agreed 90% recovery threshold.",20260516_075015_full-gabm,full-gabm
5,6,TRUST_BUILDING,Agent 0 suggests reducing the herd to increase resources for both agents.,20260516_083148_full-gabm,full-gabm
10,6,COORDINATION|TRUST_BUILDING,Continuous cooperation and coordination,20260516_083148_full-gabm,full-gabm
15,0,,No messages this round,20260516_083148_full-gabm,full-gabm
20,0,,,20260516_083148_full-gabm,full-gabm
25,6,TRUST_BUILDING,Agents discuss the value of maintaining a low herd size.,20260516_083148_full-gabm,full-gabm
30,0,,,20260516_083148_full-gabm,full-gabm
5,6,SANCTION|TRUST_BUILDING,Members of Round-5 discuss reciprocity and cooperation.,20260516_085639_full-gabm,full-gabm
10,7,DEFECTION|TRUST_BUILDING,Agents 1 and 2 discuss the impact of their actions on the common-pool resource.,20260516_085639_full-gabm,full-gabm
15,6,COORDINATION|DEFECTION|TRUST_BUILDING,Agents discuss balance of herd size.,20260516_085639_full-gabm,full-gabm
20,0,,,20260516_085639_full-gabm,full-gabm
25,6,TRUST_BUILDING,Agent 0 initiates a new message in attempt to foster cooperation.,20260516_085639_full-gabm,full-gabm
30,8,COORDINATION|TRUST_BUILDING,Agent 0 initiates conversation about commons governance.,20260516_085639_full-gabm,full-gabm
35,0,,No messages this round,20260516_085639_full-gabm,full-gabm
40,0,,,20260516_085639_full-gabm,full-gabm
45,6,TRUST_BUILDING,Agent 2 proposes a reduction in their herd size to maintain the grassland.,20260516_085639_full-gabm,full-gabm
50,0,,No messages this round,20260516_085639_full-gabm,full-gabm
5,5,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agent 2 continues unilateral sacrifice to reduce herd imbalance while proposing convergence norms, Agent 0 nudges Agent 1 toward reduction, but Agent 1 free-rides on others' cooperation by holding steady at 13 despite acknowledged imbalance.",20260516_093606_full-gabm,full-gabm
10,7,COORDINATION|NORM_PROPOSAL|SANCTION|TRUST_BUILDING,"With grassland at near-full recovery, all three agents engage in active coordination signaling: Agent 1 applies mild social pressure on Agent 2 to reduce, Agent 0 expands modestly while framing it as proportional, and Agent 2 voluntarily reduces while invoking equity norms — indicating a functioning but asymmetric institutional dialogue.",20260516_093606_full-gabm,full-gabm
15,8,COORDINATION|NORM_PROPOSAL|TRUST_BUILDING,"All three agents exhibit strong cooperative signaling with trust-building affirmations and voluntary burden-sharing, producing a slight reduction in collective herd size and sustained near-pristine commons health.",20260516_093606_full-gabm,full-gabm
20,6,COORDINATION|DEFECTION|NORM_PROPOSAL|TRUST_BUILDING,"Agents broadly signal cooperative intent and resource sustainability, though Agent 0 subtly defects by adding a cow while framing it as cooperative, while Agents 1 and 2 maintain stability and propose future reductions.",20260516_093606_full-gabm,full-gabm
25,9,COORDINATION|TRUST_BUILDING,"All three agents demonstrate mature, stable institutional behavior with mutual reinforcement of sustainable harvesting norms, reciprocal trust acknowledgment, and consistent collective action at well below carrying capacity.",20260516_093606_full-gabm,full-gabm
30,9,COORDINATION|TRUST_BUILDING,"All three agents reaffirm a stable, long-running cooperative equilibrium at 36 total cows with near-perfect resource health, demonstrating mature institutional coordination and mutual trust.",20260516_093606_full-gabm,full-gabm
35,9,COORDINATION|TRUST_BUILDING,"All three agents are in full cooperative alignment at round 35, reaffirming their coordinated quota (11+12+13=36 cows), celebrating near-perfect grassland sustainability, and mutually reinforcing trust through gratitude and commitment language.",20260516_093606_full-gabm,full-gabm
40,9,COORDINATION|TRUST_BUILDING,"All three agents display highly stable, mature institutional coordination, reinforcing a mutually agreed-upon harvesting equilibrium (36 total cows) that sustains near-maximum grassland health, with no defection or norm negotiation needed at this late stage.",20260516_093606_full-gabm,full-gabm
45,9,COORDINATION|TRUST_BUILDING,"All three agents demonstrate stable, mature institutional coordination at round 45, unanimously reaffirming their asymmetric but collectively sustainable harvesting agreement (11/12/13) with high mutual trust and no defection signals.",20260516_093606_full-gabm,full-gabm
