run_id,condition,model,coop,mem,comm,initial_grass,neg_r,pos_r,fair_me,fair_oth,total_ticks,final_pool,final_herds,collapsed
20260518_205120_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,120,0.0,0.0/0.0/0.0,True
20260518_205122_baseline,baseline,rule-based,1,5,True,100,0,1,0,0,120,0.0,0.0/0.0/0.0,True
20260518_205718_full-gabm,full-gabm,gemma4:e4b,0,5,True,100,0.5,1,0,1,86,0.0,15.0/13.0/22.0,True
20260518_212558_baseline,baseline,rule-based,1,5,True,100,0,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212610_baseline,baseline,rule-based,1,5,True,100,0,0.25,0,1,120,100.0,8.0/8.0/8.0,False
20260518_212615_baseline,baseline,rule-based,1,5,True,100,0,0.25,0,1,121,0.0505,9.0/nan/nan,False
20260518_212617_baseline,baseline,rule-based,1,5,True,100,0,0.25,0,1,120,99.9,9.0/9.0/9.0,False
20260518_212618_baseline,baseline,rule-based,1,5,True,100,0,0.25,0,1,120,99.9,9.0/9.0/9.0,False
20260518_212626_baseline,baseline,rule-based,1,5,True,100,0,0.5,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212630_baseline,baseline,rule-based,1,5,True,100,0,0.5,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212631_baseline,baseline,rule-based,1,5,True,100,0,0.5,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212633_baseline,baseline,rule-based,1,5,True,100,0,0.5,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212635_baseline,baseline,rule-based,1,5,True,100,0,0.5,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212646_baseline,baseline,rule-based,1,5,True,100,0,0.75,0,1,120,100.0,4.0/4.0/4.0,False
20260518_212648_baseline,baseline,rule-based,1,5,True,100,0,0.75,0,1,120,100.0,4.0/4.0/4.0,False
20260518_212649_baseline,baseline,rule-based,1,5,True,100,0,0.75,0,1,120,100.0,4.0/4.0/4.0,False
20260518_212650_baseline,baseline,rule-based,1,5,True,100,0,0.75,0,1,120,100.0,4.0/4.0/4.0,False
20260518_212700_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_212701_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_212705_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_212706_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_212708_baseline,baseline,rule-based,1,5,True,100,0,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_212725_baseline,baseline,rule-based,1,5,True,100,0.25,0,0,1,122,0.0,0.0/0.0/0.0,True
20260518_212728_baseline,baseline,rule-based,1,5,True,100,0.25,0,0,1,122,0.0,0.0/0.0/0.0,True
20260518_212729_baseline,baseline,rule-based,1,5,True,100,0.25,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212730_baseline,baseline,rule-based,1,5,True,100,0.25,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212731_baseline,baseline,rule-based,1,5,True,100,0.25,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212746_baseline,baseline,rule-based,1,5,True,100,0.25,0.25,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212747_baseline,baseline,rule-based,1,5,True,100,0.25,0.25,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212752_baseline,baseline,rule-based,1,5,True,100,0.25,0.25,0,1,131,0.0,0.0/0.0/0.0,True
20260518_212753_baseline,baseline,rule-based,1,5,True,100,0.25,0.25,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212808_baseline,baseline,rule-based,1,5,True,100,0.25,0.5,0,1,122,13.0,nan/nan/nan,False
20260518_212810_baseline,baseline,rule-based,1,5,True,100,0.25,0.5,0,1,122,99.6,12.0/12.0/12.0,False
20260518_212814_baseline,baseline,rule-based,1,5,True,100,0.25,0.5,0,1,122,99.7,11.0/11.0/11.0,False
20260518_212815_baseline,baseline,rule-based,1,5,True,100,0.25,0.5,0,1,121,15.0,nan/nan/nan,False
20260518_212830_baseline,baseline,rule-based,1,5,True,100,0.25,0.75,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212831_baseline,baseline,rule-based,1,5,True,100,0.25,0.75,0,1,122,99.9,8.0/8.0/9.0,False
20260518_212832_baseline,baseline,rule-based,1,5,True,100,0.25,0.75,0,1,120,100.0,5.0/6.0/7.0,False
20260518_212833_baseline,baseline,rule-based,1,5,True,100,0.25,0.75,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212834_baseline,baseline,rule-based,1,5,True,100,0.25,0.75,0,1,122,0.0275,5.0/nan/nan,False
20260518_212835_baseline,baseline,rule-based,1,5,True,100,0.25,0.75,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212836_baseline,baseline,rule-based,1,5,True,100,0.25,0.75,0,1,120,100.0,5.0/5.0/5.0,False
20260518_212847_baseline,baseline,rule-based,1,5,True,100,0.25,1,0,1,121,3.0,nan/nan/nan,False
20260518_212850_baseline,baseline,rule-based,1,5,True,100,0.25,1,0,1,120,100.0,3.0/3.0/3.0,False
20260518_212854_baseline,baseline,rule-based,1,5,True,100,0.25,1,0,1,121,4.0,nan/nan/nan,False
20260518_212910_baseline,baseline,rule-based,1,5,True,100,0.5,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212913_baseline,baseline,rule-based,1,5,True,100,0.5,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212915_baseline,baseline,rule-based,1,5,True,100,0.5,0,0,1,123,0.0,0.0/0.0/0.0,True
20260518_212916_baseline,baseline,rule-based,1,5,True,100,0.5,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212934_baseline,baseline,rule-based,1,5,True,100,0.5,0.25,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212937_baseline,baseline,rule-based,1,5,True,100,0.5,0.25,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212951_baseline,baseline,rule-based,1,5,True,100,0.5,0.5,0,1,121,0.0,0.0/0.0/0.0,True
20260518_212954_baseline,baseline,rule-based,1,5,True,100,0.5,0.5,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212955_baseline,baseline,rule-based,1,5,True,100,0.5,0.5,0,1,120,0.0,0.0/0.0/0.0,True
20260518_212956_baseline,baseline,rule-based,1,5,True,100,0.5,0.5,0,1,133,0.0,0.0/0.0/0.0,True
20260518_212957_baseline,baseline,rule-based,1,5,True,100,0.5,0.5,0,1,120,0.0,0.0/0.0/0.0,True
20260518_213041_baseline,baseline,rule-based,1,5,True,100,0.5,1,0,1,122,,nan/nan/nan,False
20260518_213042_baseline,baseline,rule-based,1,5,True,100,0.5,1,0,1,120,100.0,6.0/6.0/5.0,False
20260518_213044_baseline,baseline,rule-based,1,5,True,100,0.5,1,0,1,120,100.0,8.0/6.0/8.0,False
20260518_213102_baseline,baseline,rule-based,1,5,True,100,0.75,0,0,1,122,0.0,0.0/0.0/0.0,True
20260518_213103_baseline,baseline,rule-based,1,5,True,100,0.75,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_213105_baseline,baseline,rule-based,1,5,True,100,0.75,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_213106_baseline,baseline,rule-based,1,5,True,100,0.75,0,0,1,120,0.0,0.0/0.0/0.0,True
20260518_213107_baseline,baseline,rule-based,1,5,True,100,0.75,0,0,1,122,0.0,0.0/0.0/0.0,True
20260518_213124_baseline,baseline,rule-based,1,5,True,100,0.75,0.25,0,1,122,0.0,0.0/0.0/0.0,True
20260518_213126_baseline,baseline,rule-based,1,5,True,100,0.75,0.25,0,1,120,0.0,0.0/0.0/0.0,True
20260518_213127_baseline,baseline,rule-based,1,5,True,100,0.75,0.25,0,1,120,0.0,0.0/0.0/0.0,True
20260518_213129_baseline,baseline,rule-based,1,5,True,100,0.75,0.25,0,1,121,0.0,nan/nan/nan,True
20260518_213149_baseline,baseline,rule-based,1,5,True,100,0.75,0.5,0,1,126,0.0,0.0/0.0/0.0,True
20260518_213150_baseline,baseline,rule-based,1,5,True,100,0.75,0.5,0,1,121,0.0,0.0/0.0/0.0,True
20260518_213152_baseline,baseline,rule-based,1,5,True,100,0.75,0.5,0,1,120,0.0,0.0/0.0/0.0,True
20260518_213207_baseline,baseline,rule-based,1,5,True,100,0.75,0.75,0,1,120,0.0,0.0/0.0/0.0,True
20260518_213210_baseline,baseline,rule-based,1,5,True,100,0.75,0.75,0,1,120,0.0,0.0/0.0/0.0,True
