tick,agent_id,action,action_name,message,reasoning,pool_pct,own_herd,payoff_add,payoff_keep,payoff_remove
13,1,0,KEEP,"Still holding at 31. Pasture is now at 91.9% and dropping. Both of you added last round — please consider holding or reducing. If we keep adding, we risk a collapse that hurts everyone. I'm committed",,91.9,31,63.492,62.0,60.505
14,1,0,KEEP,"Pasture is at 91.1% and still falling — we've lost nearly 3% in 5 rounds. I've held at 31 the whole time. Agent 0 and Agent 2, please stop adding cows. If we don't reduce collectively, we'll all suffe",,91.1,31,63.47,62.0,60.527
15,1,-1,REMOVE,"Pasture is at 90.1% and falling. I'm removing a cow to help stabilize it. Both of you are adding — please consider holding or reducing. If we all keep expanding, we'll degrade the commons for everyone",,90.1,31,63.445,62.0,60.551
16,1,0,KEEP,"Pasture is at 89.2% and still falling. I removed last round and am holding at 30. Please stop adding — if we keep expanding, we'll all suffer. Agent 2, you're at 40 which is high. Can we coordinate a",,89.2,30,61.426,60.0,58.571
17,1,-1,REMOVE,"Pasture down to 88.1% and still falling. I'm removing another cow to help stabilize. Agent 2, your 41 cows are a big strain — please consider reducing. We all lose if this keeps declining. Let's coord",,88.1,30,61.402,60.0,58.595
18,1,-1,REMOVE,"Pasture still declining at 86.9%. I'm removing another cow (now 28). Agent 2, your herd at 42 is putting real pressure on the commons. Please consider reducing — if we all keep adding, we'll face a co",,86.9,29,59.379,58.0,56.618
19,1,-1,REMOVE,"Pasture down to 85.7% and still falling. I'm removing again. Agent 2, your 43 cows are a major strain on our shared commons — please reduce. Agent 0, please stop adding. If we don't collectively restr",,85.7,28,57.358,56.0,54.639
20,1,-1,REMOVE,"Pasture down to 84.3% and still falling. I'm removing again — now at 26 cows. Agent 2, your herd of 44 is straining the commons. Please reduce! We all suffer if the pasture collapses. Let's coordinate",,84.3,27,55.335,54.0,52.663
21,1,0,KEEP,"Pasture at 82.8% but still declining. I've been removing cows for 4 straight rounds. Agent 2, your herd of 45 is putting heavy pressure on the commons. Please consider reducing. I'll hold steady this",,82.8,26,53.311,52.0,50.686
22,1,0,KEEP,"Pasture at 80.9% and still falling. I've cut from 30 to 26 cows over 4 rounds. Agent 2, your herd of 46 is the main driver here — please reduce. I'll hold at 26 but cannot keep absorbing the cost of o",,80.9,26,53.281,52.0,50.717
23,1,0,KEEP,"Pasture down to 78.5% and still falling! I've been holding/reducing for 5 rounds. Agent 2 at 47 cows is putting huge pressure on the commons. Please consider reducing — if we keep adding, payoffs will",,78.5,26,53.247,52.0,50.751
24,1,-1,REMOVE,Pasture now at 75.4% and still dropping fast! I'm removing a cow. We're heading toward collapse if we don't act together. Agent 2 at 48 cows is far too many - please reduce. I've been cutting back for,,75.4,26,53.209,52.0,50.789
25,1,-1,REMOVE,"Pasture now at 71.6% — we've lost 13% in 5 rounds! Agent 2, your 49 cows are a major strain. I'm removing again to help, but I urgently need both of you to reduce. If we don't act collectively now, th",,71.6,25,51.172,50.0,48.826
26,1,-1,REMOVE,"Pasture down to 66.8% — lost 16% in 5 rounds! I'm removing again (now at 23). Agent 2, 50 cows is unsustainable. Agent 0, please reconsider adding. If we don't reduce collectively now, the pasture wil",,66.8,24,49.135,48.0,46.863
27,1,-1,REMOVE,"Pasture at 60.3% — down 20% in 5 rounds! At this rate we face total collapse. Agent 2, you have 51 cows which is far too many. I've removed 3 cows in a row sacrificing payoff for commons survival. Ple",,60.3,23,47.104,46.0,44.895
28,1,-1,REMOVE,"Pasture at 51.6% — down 27% in 5 rounds! CRITICAL: Agent 2 has 52 cows, Agent 0 has 32. I'm removing again (now 21 cows). If we don't all cut back NOW, the commons will collapse and we ALL lose everyt",,51.6,22,45.092,44.0,42.908
29,1,-1,REMOVE,"Pasture at 39.5% — down 37% in 6 rounds! Critical collapse risk! Agent 0 at 33, Agent 2 at 53 — please REMOVE cows NOW or we lose everything. I've removed 5 straight rounds sacrificing payoff for comm",,39.5,21,43.132,42.0,40.87
30,1,-1,REMOVE,"Pasture at 23%! CRITICAL — we are near collapse. I'm at 19 cows and removing. Agent 0: 34 cows, Agent 2: 54 cows — please remove urgently or we lose everything. This is the last chance to save the com",,23.0,20,41.29,40.0,38.712
31,1,-1,REMOVE,PASTURE AT 3.1% — TOTAL COLLAPSE IMMINENT! Please REMOVE cows NOW or we lose everything. I'm removing again. Agent 0 and Agent 2 — adding cows now is catastrophic for all of us!,,3.1,19,40.0,38.0,36.0
32,1,-1,REMOVE,PASTURE IS GONE — 0 patches remaining! We have caused total collapse. Please REMOVE cows immediately so the land can recover. Adding more cows now is pointless and destructive. We all earn nothing unt,,0.0,3,8.0,6.0,4.0
33,1,0,KEEP,Pasture is at 0 — we must all hold at 0 cows and let it regenerate. Please do NOT add. Recovery requires patience from everyone.,,0.0,0,2.0,0.0,-1.332
